"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"fc23aea4-fec1-49cd-8319-2e29fd8d0661","L_001.txt","Jas. J. Walsh M.D.","char-offset:0","PERSON","","","","","","","","","","",""
"1c913d62-1b74-4fcd-aa03-7e5f5aee28e3","L_001.txt","Walsh","char-offset:8","PERSON","","","","","","","","","","",""
"ad385fce-45dc-4265-89fb-165221bfd262","L_001.txt","110 West 74th Street New York","char-offset:19","PLACE","","","","","","","UNVERIFIED","","","",""
"acd9d087-38b7-4817-8f03-b404b2e27761","L_001.txt","New York","char-offset:40","PLACE","http://sws.geonames.org/5128638","New York","","42.9903432584127","-75.68849651425573","","UNVERIFIED","","","",""
"1d77701e-8615-48f1-bad4-046e9670f41f","L_001.txt","June 29, 1923","char-offset:49","EVENT","","","","","","","","","","",""
"462ba1d5-6361-45ee-a380-89bf6aea54c4","L_001.txt","Mr. Quinn","char-offset:72","PERSON","","","","","","","","","","",""
"870e5327-1f88-4c1d-9f8d-a33dd6485d4a","L_001.txt","Quinn","char-offset:76","PERSON","","","","","","","","","","",""
"75daa2ad-a4d0-4528-9a01-6ce1a3a37d6a","L_001.txt","Madison Square Garden","char-offset:228","PLACE","","","","","","","UNVERIFIED","","","",""
"5b48a3fb-6acd-4654-9593-1e1304d9502a","L_001.txt","Burke Cocheran","char-offset:286","PLACE","","","","","","","UNVERIFIED","","","",""
"3ada34b0-2e18-4f04-b956-1cb8c5666c9b","L_001.txt","Burke Cocheran","char-offset:286","PERSON","","","","","","","","","","",""
"fa4c5b34-ad67-468b-92a1-b53589bc40d6","L_001.txt","Cocheran","char-offset:292","PERSON","","","","","","","","","","",""
"89abf940-1e48-4bf4-80ff-b8fccc7c200c","L_001.txt","Sir Roger Casement","char-offset:352","PERSON","","","","","","","","","","",""
"f22a42ef-1989-4d6a-a422-3cc0263439c0","L_001.txt","Sir Roger","char-offset:352","PERSON","","","","","","","","","","",""
"af38ee68-2b71-41c3-a37f-8ab6add9c5f7","L_001.txt","Casement","char-offset:362","PERSON","","","","","","","","","","",""
"188fa937-4ac0-42f1-949f-40d60018867a","L_001.txt","Sir Roger.","char-offset:512","PERSON","","","","","","","","","","",""
"d4e7a119-f83c-4de9-be78-ecbdf070091b","L_001.txt","Sir Roger","char-offset:512","PERSON","","","","","","","","","","",""
"e9b82561-2368-418f-ae7d-d70433601a38","L_001.txt","Basil Thomson","char-offset:623","PERSON","","","","","","","","","","",""
"435d9d9d-4bda-4dd1-b487-1f33d45e98ba","L_001.txt","Sir Roger","char-offset:716","PERSON","","","","","","","","","","",""
"11904c20-3716-4d8f-8c3f-8511912ad16e","L_001.txt","London","char-offset:757","PLACE","http://sws.geonames.org/6058560","London","","42.98339","-81.23304","","UNVERIFIED","","","",""
"538da61b-353b-4385-b652-5e111c87711b","L_001.txt","Casement","char-offset:1179","PERSON","","","","","","","","","","",""
"3993035c-59a7-4bff-b114-3ec08556937a","L_001.txt","year 1910","char-offset:1327","EVENT","","","","","","","","","","",""
"0592f01b-7344-42c3-b0a5-7b5a22a020cf","L_001.txt","Sir Roger","char-offset:1643","PERSON","","","","","","","","","","",""
"e74cb27b-eb9c-40fd-9a1c-cacc9a0c60dc","L_001.txt","John Devoy","char-offset:1805","PERSON","","","","","","","","","","",""
"29282255-92f0-46cb-9b47-b7ed02072474","L_001.txt","Devoy","char-offset:1810","PERSON","","","","","","","","","","",""
"450947ec-4a29-4974-9daf-c7326f0cfe7a","L_001.txt","Judge Cohalan","char-offset:1820","PERSON","","","","","","","","","","",""
"927fcc79-03f9-49b7-a0d5-6b7d1eb770f5","L_001.txt","Cohalan","char-offset:1826","PERSON","","","","","","","","","","",""
"6d7c6cc5-b7eb-4ca4-b567-524ea1132277","L_001.txt","Jas J Walsh","char-offset:2031","PERSON","","","","","","","","","","",""
"de0e3586-7be4-428c-b885-0ba4d62bd4c8","L_001.txt","Walsh","char-offset:2037","PERSON","","","","","","","","","","",""
