"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"679a1da7-8a5b-4ceb-9599-b0fd345ff6bd","L_003.txt","Richard W. Hale","char-offset:0","PERSON","","","","","","","","","","",""
"9ebf4d81-7fe9-45ea-9579-5df083de3d82","L_003.txt","Hale","char-offset:11","PERSON","","","","","","","","","","",""
"91e50ba4-8fe7-4ca0-a850-8c4cfad4be66","L_003.txt","Frank W Grinnell","char-offset:16","PERSON","","","","","","","","","","",""
"1f31407c-7179-4b87-9217-8945e01ace37","L_003.txt","Grinnell","char-offset:24","PERSON","","","","","","","","","","",""
"aabb9a45-41b0-49c7-9d9f-8eaa9563a89c","L_003.txt","Roger D.Swaim","char-offset:33","PERSON","","","","","","","","","","",""
"809d4910-f29b-4a45-8481-69352d8675f6","L_003.txt","Swaim","char-offset:41","PERSON","","","","","","","","","","",""
"4250a78e-1f48-4c19-8c2a-37777946dd62","L_003.txt","John M. Maguire","char-offset:47","PERSON","","","","","","","","","","",""
"13c09acd-3397-43c2-b074-18a0ef2c8c9a","L_003.txt","Maguire","char-offset:55","PERSON","","","","","","","","","","",""
"4086c91b-411e-4cc0-b252-f1f4567a14ab","L_003.txt","Harvey H. Bundy","char-offset:63","PERSON","","","","","","","","","","",""
"c1edff23-e3ce-4a61-a100-e167c20419db","L_003.txt","Bundy","char-offset:73","PERSON","","","","","","","","","","",""
"4cd39a69-347a-4528-b3e4-4a72a5270b33","L_003.txt","Hale","char-offset:79","PERSON","","","","","","","","","","",""
"82aae957-5b4f-4e4c-8f9e-b38f3ad6f227","L_003.txt","Grinnell","char-offset:86","PERSON","","","","","","","","","","",""
"da4fec6a-9a97-4889-a8fc-5aabb1c04545","L_003.txt","16 Central Street, Boston","char-offset:129","PLACE","","","","","","","UNVERIFIED","","","",""
"02c485e5-9ad9-4538-94a7-a970d2e9c2d0","L_003.txt","Boston","char-offset:148","PLACE","http://sws.geonames.org/1723862","Boston","","7.87111","126.36417","","UNVERIFIED","","","",""
"1d7f9215-de19-4b64-bc47-ece1bddae6c0","L_003.txt","Hafis, Boston","char-offset:214","PLACE","","","","","","","UNVERIFIED","","","",""
"df767d39-0de5-4f76-93f9-effa6d7f0d69","L_003.txt","Boston","char-offset:221","PLACE","http://sws.geonames.org/1723862","Boston","","7.87111","126.36417","","UNVERIFIED","","","",""
"6eaeec89-f9a9-462c-a229-a06afe070fa0","L_003.txt","August 18, 1916","char-offset:229","EVENT","","","","","","","","","","",""
"f2769491-cc3f-4589-b855-6a4649b17475","L_003.txt","John Quinn","char-offset:250","PERSON","","","","","","","","","","",""
"b826999c-19d0-480f-a002-b32cfb4a05a8","L_003.txt","Quinn","char-offset:255","PERSON","","","","","","","","","","",""
"fe7954d2-5e0a-420b-b842-50c9bd0dfd0d","L_003.txt","Esq31 Nassau St.New York City","char-offset:262","PLACE","","","","","","","UNVERIFIED","","","",""
"af808ec6-83da-45f7-8218-aa1cc3a5c8f1","L_003.txt","New York City","char-offset:278","PLACE","http://sws.geonames.org/5128581","New York City","","40.71427","-74.00597","","UNVERIFIED","","","",""
"facbf684-78c0-419c-ae81-3cdfe10a6949","L_003.txt","Quinn","char-offset:300","PERSON","","","","","","","","","","",""
"0213c9b3-25d2-4796-8629-3d56d129cc60","L_003.txt","August 17th","char-offset:329","EVENT","","","","","","","","","","",""
"6a2872ff-d7cf-4898-a503-a6b69fab4fcb","L_003.txt","Casement","char-offset:374","PERSON","","","","","","","","","","",""
"cfbc539b-64d9-4707-84b8-5580c33257ba","L_003.txt","Casement","char-offset:544","PERSON","","","","","","","","","","",""
"652fb16b-cad6-4ab1-a6ff-3c39fe9e7158","L_003.txt","Casement","char-offset:769","PERSON","","","","","","","","","","",""
"afd50f0d-c4fa-4032-a37f-96a918f220df","L_003.txt","Casement","char-offset:793","PERSON","","","","","","","","","","",""
"b978768e-a1f4-490d-a737-8583a237b44b","L_003.txt","Casement","char-offset:972","PERSON","","","","","","","","","","",""
"b465c559-d517-46b4-8aa0-bf93f0f3f9c1","L_003.txt","Quinn","char-offset:1113","PERSON","","","","","","","","","","",""
"334f76e1-920d-45d6-8343-e2d1b7eb5d3f","L_003.txt","Casement","char-offset:1241","PERSON","","","","","","","","","","",""
"7f8f0d51-3eb5-486b-a388-acc532a138bd","L_003.txt","Ireland","char-offset:1497","PLACE","http://geo-kima.org/place/7885","Ireland","","","","","UNVERIFIED","","","",""
"54861c36-cfd5-4209-a4da-5d94ff0eb5fe","L_003.txt","south of Ireland","char-offset:1524","PLACE","http://pleiades.stoa.org/places/79632","Ouergionios Okeanos","-0030/2100","50.0","-9.0","water-open","UNVERIFIED","","","",""
"23b20684-3d7f-4029-8227-666e8437f7fb","L_003.txt","Ireland","char-offset:1533","PLACE","http://geo-kima.org/place/7885","Ireland","","","","","UNVERIFIED","","","",""
"5bec1b60-93c6-4bfa-bfd8-3606bedc3f42","L_003.txt","Ulster","char-offset:1671","PLACE","http://sws.geonames.org/7521316","Ulster","","","","","UNVERIFIED","","","",""
"97d17219-0db5-45ca-bd86-2894e52dc472","L_003.txt","Dublin","char-offset:1682","PLACE","http://sws.geonames.org/2964574","Dublin","","53.33306","-6.24889","","UNVERIFIED","","","",""
"d4b0f52a-6056-4230-94d3-6c7978cdf0ba","L_003.txt","Hale","char-offset:1715","PERSON","","","","","","","","","","",""
